iter	Passed	Remaining
0	18	13261
1	34	12002
2	50	11688
3	67	11744
4	84	11780
5	101	11792
6	119	11805
7	136	11797
8	153	11791
9	169	11712
10	186	11709
11	204	11739
12	221	11690
13	237	11622
14	254	11604
15	271	11596
16	288	11579
17	306	11594
18	324	11619
19	341	11627
20	358	11601
21	376	11614
22	394	11600
23	410	11573
24	428	11577
25	445	11553
26	461	11512
27	478	11478
28	494	11434
29	510	11403
30	526	11368
31	542	11332
32	560	11328
33	577	11316
34	594	11303
35	612	11303
36	630	11291
37	646	11262
38	662	11235
39	681	11237
40	697	11218
41	716	11228
42	733	11202
43	751	11197
44	768	11188
45	786	11181
46	804	11177
47	822	11175
48	840	11167
49	860	11186
50	890	11332
51	911	11354
52	931	11371
53	950	11374
54	970	11382
55	990	11396
56	1010	11400
57	1030	11403
58	1049	11401
59	1068	11392
60	1087	11390
61	1106	11386
62	1126	11385
63	1147	11398
64	1166	11396
65	1185	11385
66	1206	11396
67	1224	11383
68	1244	11376
69	1263	11368
70	1282	11357
71	1301	11351
72	1320	11340
73	1338	11323
74	1356	11306
75	1376	11303
76	1394	11286
77	1413	11268
78	1432	11261
79	1450	11240
80	1468	11221
81	1487	11208
82	1504	11187
83	1523	11175
84	1542	11162
85	1561	11149
86	1581	11146
87	1601	11135
88	1619	11118
89	1638	11106
90	1658	11096
91	1676	11082
92	1695	11065
93	1714	11050
94	1732	11031
95	1749	11010
96	1767	10987
97	1785	10967
98	1803	10950
99	1822	10932
100	1839	10907
101	1857	10889
102	1875	10868
103	1893	10851
104	1911	10833
105	1929	10810
106	1945	10784
107	1963	10765
108	1982	10747
109	1999	10726
110	2017	10704
111	2034	10681
112	2051	10655
113	2067	10626
114	2085	10606
115	2102	10585
116	2120	10564
117	2137	10545
118	2155	10524
119	2173	10507
120	2191	10485
121	2208	10463
122	2225	10441
123	2243	10420
124	2261	10402
125	2279	10385
126	2297	10365
127	2314	10343
128	2332	10322
129	2349	10303
130	2367	10282
131	2384	10259
132	2401	10239
133	2419	10218
134	2436	10197
135	2453	10176
136	2470	10153
137	2487	10130
138	2504	10106
139	2520	10082
140	2538	10062
141	2555	10042
142	2573	10025
143	2592	10010
144	2609	9986
145	2627	9970
146	2645	9950
147	2662	9928
148	2679	9910
149	2696	9887
150	2714	9869
151	2732	9852
152	2749	9830
153	2766	9809
154	2784	9790
155	2801	9769
156	2818	9748
157	2835	9728
158	2853	9708
159	2870	9689
160	2889	9673
161	2906	9653
162	2924	9635
163	2941	9613
164	2958	9593
165	2976	9576
166	2994	9556
167	3011	9537
168	3029	9519
169	3048	9502
170	3065	9483
171	3082	9462
172	3099	9442
173	3115	9419
174	3133	9401
175	3150	9380
176	3167	9359
177	3184	9339
178	3202	9320
179	3219	9301
180	3237	9282
181	3254	9261
182	3271	9243
183	3289	9224
184	3307	9206
185	3324	9187
186	3341	9166
187	3357	9145
188	3374	9123
189	3392	9105
190	3408	9083
191	3425	9063
192	3441	9040
193	3459	9022
194	3477	9004
195	3494	8984
196	3511	8966
197	3528	8946
198	3546	8927
199	3563	8909
200	3581	8890
201	3598	8872
202	3615	8851
203	3631	8829
204	3647	8807
205	3664	8787
206	3681	8768
207	3698	8748
208	3716	8730
209	3733	8710
210	3751	8694
211	3769	8677
212	3786	8656
213	3803	8636
214	3820	8618
215	3837	8599
216	3853	8578
217	3870	8558
218	3887	8538
219	3905	8521
220	3922	8500
221	3939	8482
222	3957	8465
223	3973	8444
224	3990	8425
225	4007	8405
226	4025	8388
227	4044	8372
228	4063	8357
229	4082	8341
230	4100	8325
231	4118	8307
232	4137	8292
233	4154	8274
234	4173	8257
235	4190	8239
236	4208	8221
237	4225	8202
238	4243	8185
239	4261	8167
240	4278	8148
241	4296	8130
242	4314	8114
243	4333	8098
244	4351	8080
245	4369	8063
246	4386	8045
247	4404	8028
248	4422	8010
249	4440	7992
250	4456	7972
251	4474	7954
252	4491	7936
253	4509	7918
254	4526	7899
255	4544	7881
256	4563	7865
257	4580	7847
258	4597	7828
259	4614	7808
260	4631	7790
261	4648	7771
262	4666	7754
263	4684	7736
264	4702	7719
265	4720	7701
266	4738	7684
267	4757	7668
268	4774	7649
269	4793	7633
270	4811	7616
271	4829	7600
272	4850	7585
273	4869	7570
274	4888	7554
275	4907	7538
276	4926	7523
277	4945	7506
278	4962	7487
279	4980	7470
280	4999	7454
281	5018	7438
282	5037	7422
283	5056	7406
284	5074	7389
285	5093	7373
286	5110	7354
287	5129	7337
288	5147	7320
289	5166	7304
290	5185	7288
291	5204	7271
292	5223	7255
293	5242	7239
294	5261	7223
295	5281	7207
296	5299	7190
297	5318	7174
298	5337	7158
299	5356	7141
300	5374	7124
301	5393	7108
302	5411	7090
303	5429	7072
304	5447	7054
305	5466	7038
306	5484	7020
307	5504	7005
308	5523	6989
309	5542	6972
310	5561	6956
311	5580	6940
312	5600	6924
313	5619	6908
314	5638	6890
315	5655	6872
316	5675	6856
317	5692	6838
318	5711	6821
319	5729	6804
320	5749	6788
321	5767	6771
322	5785	6753
323	5805	6737
324	5825	6721
325	5844	6705
326	5864	6689
327	5885	6675
328	5904	6657
329	5922	6640
330	5941	6623
331	5960	6606
332	5979	6589
333	5996	6571
334	6015	6554
335	6033	6536
336	6052	6519
337	6071	6502
338	6088	6484
339	6107	6466
340	6124	6448
341	6142	6430
342	6159	6411
343	6177	6392
344	6195	6375
345	6213	6357
346	6234	6341
347	6251	6323
348	6270	6306
349	6288	6288
350	6307	6271
351	6325	6253
352	6343	6235
353	6362	6218
354	6381	6201
355	6399	6184
356	6418	6166
357	6435	6147
358	6453	6129
359	6470	6110
360	6487	6091
361	6504	6073
362	6521	6054
363	6539	6036
364	6557	6018
365	6575	6000
366	6593	5982
367	6610	5964
368	6628	5945
369	6647	5928
370	6663	5909
371	6681	5891
372	6698	5872
373	6716	5854
374	6734	5836
375	6749	5815
376	6767	5798
377	6784	5779
378	6802	5761
379	6820	5743
380	6840	5727
381	6857	5708
382	6875	5690
383	6892	5672
384	6910	5654
385	6929	5637
386	6947	5619
387	6965	5601
388	6984	5583
389	7002	5565
390	7020	5548
391	7037	5529
392	7056	5512
393	7073	5493
394	7090	5475
395	7109	5457
396	7125	5438
397	7141	5419
398	7158	5400
399	7176	5382
400	7193	5363
401	7210	5345
402	7228	5327
403	7244	5308
404	7263	5290
405	7281	5272
406	7299	5254
407	7316	5236
408	7334	5218
409	7350	5199
410	7368	5181
411	7387	5164
412	7404	5145
413	7422	5127
414	7440	5109
415	7458	5091
416	7475	5073
417	7492	5054
418	7510	5037
419	7528	5018
420	7544	5000
421	7563	4982
422	7582	4965
423	7601	4947
424	7619	4929
425	7637	4912
426	7657	4895
427	7674	4877
428	7694	4860
429	7714	4844
430	7733	4826
431	7752	4809
432	7772	4792
433	7790	4774
434	7808	4756
435	7827	4739
436	7847	4722
437	7865	4705
438	7883	4687
439	7901	4669
440	7919	4651
441	7939	4634
442	7959	4617
443	7978	4600
444	7999	4583
445	8019	4567
446	8039	4550
447	8060	4534
448	8081	4517
449	8102	4501
450	8124	4485
451	8145	4469
452	8166	4452
453	8187	4436
454	8207	4419
455	8227	4402
456	8247	4385
457	8267	4368
458	8286	4351
459	8306	4333
460	8324	4315
461	8342	4297
462	8362	4280
463	8381	4263
464	8400	4245
465	8420	4228
466	8440	4211
467	8459	4193
468	8479	4176
469	8498	4158
470	8517	4140
471	8538	4124
472	8558	4107
473	8577	4089
474	8595	4071
475	8628	4060
476	8646	4042
477	8664	4023
478	8683	4006
479	8702	3988
480	8720	3970
481	8738	3952
482	8757	3934
483	8777	3917
484	8797	3900
485	8817	3882
486	8838	3865
487	8857	3847
488	8876	3830
489	8896	3812
490	8914	3794
491	8932	3776
492	8952	3758
493	8981	3745
494	9003	3728
495	9023	3711
496	9043	3693
497	9063	3676
498	9081	3658
499	9102	3641
500	9122	3623
501	9141	3605
502	9160	3587
503	9178	3569
504	9197	3551
505	9215	3533
506	9234	3515
507	9252	3497
508	9270	3478
509	9290	3461
510	9311	3443
511	9335	3427
512	9357	3410
513	9377	3393
514	9397	3375
515	9416	3357
516	9437	3340
517	9457	3322
518	9477	3305
519	9498	3287
520	9519	3270
521	9541	3253
522	9563	3236
523	9586	3219
524	9609	3203
525	9632	3186
526	9653	3168
527	9674	3151
528	9695	3134
529	9715	3116
530	9734	3098
531	9753	3079
532	9772	3062
533	9790	3043
534	9809	3025
535	9827	3007
536	9846	2988
537	9866	2970
538	9886	2953
539	9905	2934
540	9924	2916
541	9943	2898
542	9963	2880
543	9986	2863
544	10009	2846
545	10029	2828
546	10049	2810
547	10068	2792
548	10089	2775
549	10110	2757
550	10132	2740
551	10153	2722
552	10173	2704
553	10196	2687
554	10217	2669
555	10237	2651
556	10259	2633
557	10280	2616
558	10301	2598
559	10323	2580
560	10346	2563
561	10368	2546
562	10390	2528
